	Biamonti	Hess	Op.	Grove	WoO	Title 1	Title 2	Composition Dates 1	Composition Dates 2	Notes 1	Key	Scoring	Genre	Notes 2	Same As	ROW 2
20	14	—	—		110	"Song in F minor: ""Elegie auf den Tod eines Pudels""; ""Stirb immerhin, es welken ja so viele der Freuden"""	"Elegie auf den Tod eines Pudels (""Stirb immerhin, es welken ja so viele der Freuden"")"	1790	1790	words: Anonymous	F minor	v pf	Vocal		WoO 110	433
21	15					"Song: ""Der Arme Componist"" (The Poor Composer)"			1788 - 1791							
22	16					Unknown Part for Cello; authorship: probable				cello part to the Lost Cadenza for the Leopold Cantata WoO 88						
23	17	—	—	196/@@@	087	"Cantata: ""Trauerkantate auf den Tod Joseph II"" (on the Death of Joseph II)"	Cantata on the Death of Emperor Joseph II (Trauerkantate auf den Tod Joseph II)	1790	1790	words: S. A. Averdonk	C minor	sop bass ch orch	Vocal		"WoO 87, Grove 196"	383
24	18	—	—	196/@@@	088	"Cantata: ""Kantate auf die Erhebung Leopold II zur Kaiserwürde"" (on the Elevation of Leopold II to the Imperial Dignity)"	Cantata on the Accession of Emperor Leopold II (Kantate auf die Erhebung Leopold II zur Kaiserwürde)	1790	1790	words: S. A. Averdonk	A♭ major-D major	sop ten bass ch orch	Vocal		"WoO 88, Grove 196"	384
25	19	—	—		037	"Trio for Piano, Flute & Bassoon in G major"	Trio	1786-90	1786 - 1790	probably written for the Von Westerholt-Gysenberg family	G major	fl bn pf	Chamber		WoO 37	325
26	20	063				"Piece for Piano: arrangement of Chr.F.D.Schubart's ""Kaplied"" by Beethoven"			1789						Hess 63	
27	21	053	—		050	2 Sonata Movements for Piano in F major	Piano Sonata	1790-92	1790 - 1792	dedicated to Franz Wegeler	F major	pf	Keyboard	2 movts. only	"WoO 50, Hess 53"	344
28	22	126	—		111	"Song in G major: ""Punschlied""; ""Wer nicht, wenn warm von Hand zu Hand"""	"Punschlied(""Wer nicht, wenn warm von Hand zu Hand"")"	1791-92	1791 - 1792	words: Anonymous	G major	v pf	Vocal		"WoO 111, Hess 126"	434
29	23	—	—		113	"Song in E major: ""Klage""; ""Dein Silver schien durch Eichengrün"""	Klage	1790	1790	words: Ludwig Hölty	E major	v pf	Vocal		WoO 113	436
30	24	055@@@				"Variations for Piano: on ""Venni, Amore"" by Vincenzo Righini (first version)"			1790 - 1791	"Recent discovery of the original edition of 1791 shows it to be identical in almost every respect to that of 1802 (WoO 65), and not an earlier version after all, making this reference superfluous."					Hess 55	
31	25	—	—	183	064	6 Variations for Piano or Harp in F major: on a Swiss air	Variations on a Swiss song(6)	1790-92	1790 - 1792		F major	pf/hp	"Keyboard/
Chamber"		"WoO 64, Grove 183"	360
32	26	—	—		054	"Piece for Piano in C major: ""Lustig - traurig"" (Merry - Sad) in C & c"	Bagatelle ('Lustig-traurig')	1802	1802		C major-C minor	pf	Keyboard		WoO 54	349
33	27	128	—		112	"Song in G major: ""An Laura""; ""Freud’ umblühe dich auf allen Wegen"""	"An Laura(""Freud' umblühe dich auf allen Wegen"")"	1792	1792	words: Friedrich von Matthisson; Hess Anhang 21 is piano version (Beethoven’s authorship doubtful)	G major	v pf	Vocal		"WoO 112, Hess 128"	435
34	28/1	—	—		089	"Aria in F major: ""Prüfung des Küssens""; for bass & orchestra ""Meine weise Mutter spricht"""	"Prüfung des Küssens (""Meine weise Mutter spricht"")"	1790-92	1790 - 1792	words: Anonymous	F major	bass orch	Vocal		WoO 89	385
35	28/2	—	—		090	"Aria in D major: ""Mit Mädeln sich vertragen""; for bass & orchestra"	Mit Mädeln sich vertragen	1790-92	1790 - 1792	"words: from Goethe’s Singspiel ""Claudine von Villa Bella"""	D major	bass orch	Vocal		WoO 90	386
36	29	—	—	149	001	"Ballet Music: ""Ritterballet"", music for a ballet of knights"	Musik zu einem Ritterballet	1790-91	1790 - 1791	originally thought to have been by Count Waldstein; piano arrangement is Hess 89	D major	orch	Stage	music for a ballet of knights; also arr. for pf	"WoO 1, Grove 149"	268
37	30	089	—		1	"Ballet Music for Piano: ""Ritterballet"""	Musik zu einem Ritterballet	1791	1791	"""Ritterballet"", WoO 1, arranged for piano by Beethoven"	D major	pf	Stage	arr. of version for orch	Hess 89	269
38	31	—	—	153	038	Piano Trio in E flat major	Piano Trio in E-flat major	1785-91	1785 - 1791	may have been originally intended for Opus 1	E♭ major	vn vc pf	Chamber		"WoO 38, Grove 153"	326
39	32	017	—		026	Duo for Flutes in G major: Allegro and Minuet	Duo for 2 flutes	1792	1792	dedicated to J.M. Degenhart	G major	2fl	Chamber		"WoO 26, Hess 17"	308
40	33	010	—	148	005	Fragment for Violin & Orchestra in C major	Violin Concerto	1790-92	1790 - 1792	"dedicated to Gerhard von Breuning; fragment of first movement of a Concerto; originally complete, but remainder lost; three completions made"	C major	vn orch	Orchestral	only fragment of movt. I survives; completed by Joseph Hellmesberger Sr. (1876)	"WoO 5, Hess 10, Grove 148"	275
41	34/	—	052/		—		Lieder (8):	1785-93				v pf	Vocal			95
42	34/1	—	052/1	052/1	—	"Song: ""Urians Reise um die Welt""; ""Wenn jemand eine Reise tut"""	"Urians Reise um die Welt (""Wenn jemand eine Reise tut"")"	1785-93	1785 - 1793	"words: Matthias Claudius; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	A minor	v pf	Vocal	Words by Matthias Claudius	"Op. 52 #1, Grove 52"	96
43	34/2	—	052/2	052/2	—	"Song: ""Feuerfarb’""; ""Ich weiß eine Farbe"""	"Feuerfarb (""Ich weiß eine Farbe"")"	1785-93	1785 - 1793	"words: Sophie Mereau; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	G major	v pf	Vocal	Words by Sophie Mereau	"Op. 52 #2, Grove 52"	97
44	34/3	—	052/3	052/3	—	"Song: ""Das Liedchen von der Ruhe"" (The Song of Rest); ""Im Arm der Liebe ruht sich’s wohl"""	"Das Liedchen von der Ruhe (""Im Arm der Liebe ruht sich's wohl"")"	1785-93	1785 - 1793	"words: Ueltzen; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	F major	v pf	Vocal	Words by Hermann Wilhelm Franz Ueltzen	"Op. 52 #3, Grove 52"	98
45	34/4	—	052/4	052/4	—	"Song: ""Maigesang (Mailied)"" (Maysong); ""Wie herrlich leuchtet mir dir Natur"""	"Maigesang (Mailied) (""Wie herrlich leuchtet mir dir Natur"")"	1785-93	1785 - 1793	"words: Goethe; most of the songs were written in the 1790s, but they were probably revised shortly before publication; uses the theme of WoO 91 #1"	E♭ major	v pf	Vocal	Words by Johann Wolfgang von Goethe	"Op. 52 #4, Grove 52"	99
46	34/5	—	052/5	052/5	—	"Song: ""Mollys Abschied""; ""Lebe wohl, du Mann"""	"Mollys Abschied (""Lebe wohl, du Mann"")"	1785-93	1785 - 1793	"words: G A Bürger; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	G major	v pf	Vocal	Words by Gottfried August Bürger	"Op. 52 #5, Grove 52"	100
47	34/6	—	052/6	052/6	—	"Song: ""Die Liebe"" (Love); ""Ohne Liebe lebe wer da kann"""	"Die Liebe (""Ohne Liebe lebe wer da kann"")"	1785-93	1785 - 1793	"words: Lessing; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	F major	v pf	Vocal	Words by Gotthold Ephraim Lessing	"Op. 52 #6, Grove 52"	101
48	34/7	—	052/7	052/7	—	"Song: ""Marmotte""; ""Ich komme schon durch manches Land"""	"Marmotte (""Ich komme schon durch manches Land"")"	1785-93	1785 - 1793	"words: Goethe; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	A major	v pf	Vocal	Words by Johann Wolfgang von Goethe	"Op. 52 #7, Grove 52"	102
49	34/8	—	052/8	052/8	—	"Song: ""Das Blümchen Wunderhold""; ""Es blüht ein Blümchen irgendwo"""	"Das Blümchen Wunderhold (""Es blüht ein Blümchen irgendwo"")"	1785-93	1785 - 1793	"words: Bürger; most of the songs were written in the 1790s, but they were probably revised shortly before publication"	G major	v pf	Vocal	Words by Gottfried August Bürger	"Op. 52 #8, Grove 52"	103
50	35	—	—	159	067	8 Variations for Piano Four Hands in C major: on a theme by Count Ferdinand von Waldstein	Variations on a Theme by Count Waldstein (8)	1792	1792		C major	pf4h	Keyboard		"WoO 67, Grove 159"	363
51	36	—	—	162	051	Easy Piano Sonata in C major	Piano Sonata	1791-98	1791 - 1798	"dedicated to Eleonore von Breuning; first edition completed by Ries, since small parts of the first two movements and the whole of the last movement are lost"	C major	pf	Keyboard	partially lost; completion by Ferdinand Ries	"WoO 51, Grove 162"	345
52	37	—	—	178	066	"13 Variations for Piano in A major: on Dittersdorf’s arietta ""Es war einmal ein alter Mann"" from ""Das rote Käppchen"""	Variations on 'Es war einmal ein alter Mann'(13)	1792	1792		A major	pf	Keyboard	theme from the opera Das rote Käppchen by Carl Ditters von Dittersdorf	"WoO 66, Grove 178"	362
53	38	—	—		114	"Song in E major: ""Ein Selbstgespräch""; ""Ich, der mit flatterndem Sinn"""	"Ein Selbstgespräch (""Ich, der mit flatternden Sinn"")"	1793	1793	words: J.W.L. Gleim	E major	v pf	Vocal		WoO 114	437
54	39/	—	—		027@@@		Duets (3)					cl bn	Chamber	Beethoven's authorship doubtful; also arr. for vn vc		309
55	39/1			147/1	027/1	Duo No. 1 for Clarinet & Bassoon in C major; authorship: doubtful				"orig for clarinet & bassoon; repub 1815 with violin/ cello version; accpted as authentic in Kinsky, 1955, but listed as ‘probably spurious’ in Kerman, 1983"					"WoO 27 #1, Grove 147"	
56	39/2			147/2	027/2	Duo No. 2 for Clarinet & Bassoon in F major; authorship: doubtful				"orig for clarinet & bassoon; repub 1815 with violin/ cello version; accepted as authentic in Kinsky, 1955, but listed as ‘probably spurious’ in Kerman, 1983"					"WoO 27 #2, Grove 147"	
57	39/3			147/3	027/3	Duo No. 3 for Clarinet & Bassoon in B flat major; authorship: doubtful				"orig for clarinet & bassoon; repub 1815 with violin/ cello version; accpted as authentic in Kinsky, 1955, but listed as ‘probably spurious’ in Kerman, 1983"					"WoO 27 #3, Grove 147"	
58	40	—	—	146	025	"Rondino for Oboes, Clarinets, Horns & Bassoons in E flat major"	Rondino	1792-93	1792 - 1793	intended at one time as finale to the Octet Opus 103	E♭ major	2ob 2cl 2bn 2hn	Chamber	originally intended as finale to Op. 103	"WoO 25, Grove 146"	307
59	41	—	103	103	—	"Octet for Oboes, Clarinets, Horns & Bassoons in E flat major"	Wind Octet	1792-93	1792 - 1793	revised in 1796 as the String Quintet Opus 4	E♭ major	2ob 2cl 2bn 2hn	Chamber	revised for string quintet as Op.4	"Op. 103, Grove 103"	188
60	42	025				String Trio			1793	possibly original finale to Trio Opus 3					Hess 25	
61	43					"Song: ""Meine Mutter fragt mich immer: trinkst du?""; authorship: unfinished"			1792							
62	44/1	129	—		116/1	"Song in C minor: ""Que le temps me dure"" 1st version"	Que le temps me dure	1793	1793	words: Jean Jacques Rousseau; not fully notated	C minor	v pf	Vocal	"1st version, incomplete"	"WoO 116 #1, Hess 129"	439
63	44/2	130	—		116/2	"Song in C major: ""Que le temps me dure"" 2nd version"	Que le temps me dure	1793	1793	words: Jean Jacques Rousseau; not fully notated	C major	v pf	Vocal	"2nd version, incomplete"	"WoO 116 #2, Hess 130"	440
64	45	—	—		115	"Song in D major: ""An Minna""; ""Nur bei dir, an deinem Herzen"""	"An Minna(""Nur bei dir, an deinem Herzen"")"	1792	1792	words: Anonymous	D major	v pf	Vocal		WoO 115	438
65	46	—	—	156	040	"12 Variations for Piano & Violin in F major: on the theme ""Se vuol ballare"" from Mozart’s opera ""The Marriage of Figaro"""	Variations on 'Se vuol ballare' (12)	1792-93	1792 - 1793	dedicated to Eleonore von Breuning	F major	vn pf	Chamber	"theme from the opera Le nozze di Figaro, K.492 (Mozart, Wolfgang Amadeus)"	"WoO 40, Grove 156"	328
66	47/1	058				Exercise for Piano in B flat major			1800						Hess 58	
67	47/2	059				Exercise for Piano in C major			1792 - 1800						Hess 59	
68	48					Anglaise for Piano in G minor			1792							
69	49	012				Concerto for Oboe & Orchestra in F major: fragments			1790 - 1793	"lost, but sketch remains"					Hess 12	
70	50					"Sketch for Solo Voice(s) & Instrument(s) in D Major: for a Song ""Die Schwester der Schicksal - Nacht und Träume""; authorship: unfinished"			1792 - 1793							
71	51	151				"Sketch for Solo Voice(s) & Instrument(s) in D Major: sketch for a Song ""Traute Henriette""; authorship: unfinished"			1792 - 1793	words: Anonymous					Hess 151	
72	52					Andante for Piano in C major			1794							
73	53					Sketch for Instrument(s) in A Major: for a Bagatelle; authorship: unfinished			1792 - 1793							
74	54	013				"Romance for Piano, Flute, Bassoon & Orchestra in E minor; authorship: reconstruction"			1786	"completed by Willy Hess; fragment for the slow movement of a larger work, possibly for WoO 37, but more probably for a piece since lost"					Hess 13	
75	55					Sketch for Piano & Orchestra in D Major: intended for a Piano Concerto in A major; authorship: unfinished			1792 - 1793							
76	56	233				Exercise for Instrument(s): in Composition for Haydn			1792 - 1793	Same as Hess 233?					Hess 233	
77	57	—	—	155	041	Rondo for Piano & Violin in G major	Rondo	1793-94	1793 - 1794		G major	vn pf	Chamber		"WoO 41, Grove 155"	329
78	58	211	—		099/01	"Duet in B flat major: ""Bei labbri, che Amore"""	"Bei labbri, che Amore"	1801-03	1801 - 1803	"written for Antonio Salieri; words: Metastasio: ""Cantate La gelosia"""	B♭ major	2vv	Vocal		"WoO 99 #1, Hess 211"	399
79	59	227	—		099/05b	"Trio for Solo Voice(s) in C major: ""Giura il nocchier"" (WoO 99/5b), 2 of 2 settings"	Giura il nocchier	1801-03	1801 - 1803	"written for Antonio Salieri; words: Metastasio ""Le gelosia"""	C major	3vv	Vocal	2nd setting	"WoO 99 #5.2, Hess 227"	411
80	60	212	—		099/06	"Trio for Solo Voice(s) in G major: ""Ma tu tremi, o mio tesoro"""	"Ma tu tremi, o mio tesoro"	1801-03	1801 - 1803	"written for Antonio Salieri; words: Metastasio: ""Cantate La tempesta"""	G major	3vv	Vocal		"WoO 99 #6, Hess 212"	412
81	61/1					Sketch for Piano Trio in E Flat Major; authorship: unfinished			1793 - 1794	"sketch for last movement of Piano Trio, Opus 1 #1"						
82	61/2					Sketch for Piano Trio in C Minor; authorship: unfinished			1793 - 1794	"sketch for last movement of Piano Trio, Opus 1 #3"						
83	62/	—	001/	001/	—		Piano Trios (3):	1792-94				vn vc pf	Chamber			1
84	62/1	—	001/1	001/1	—	Piano Trio No. 1 in E flat major	Piano Trio	1792-93	1792 - 1793	dedicated to Prince Karl Lichnowsky	E♭ major	vn vc pf	Chamber		"Op. 1 #1, Grove 1"	2
85	62/2	—	001/2	001/2	—	Piano Trio No. 2 in G major	Piano Trio	1792-94	1792 - 1794	dedicated to Prince Karl Lichnowsky	G major	vn vc pf	Chamber		"Op. 1 #2, Grove 1"	3
86	62/3	—	001/3	001/3	—	Piano Trio No. 3 in C minor	Piano Trio	1792-94	1792 - 1794	dedicated to Prince Karl Lichnowsky; later arranged for string quintet as Opus 104	C minor	vn vc pf	Chamber	arr. for 2vn va vc as Op.104	"Op. 1 #3, Grove 1"	4
87	63	—	087	087	—	Trio for Oboes & English Horn in C major	Trio	1794-95	1794 - 1795		C major	2ob eh	Chamber		"Op. 87, Grove 87"	164
88	64	033				Minuet for String Quartet in A flat major			1790 - 1792	piano version is Hess 88					Hess 33	
89	65	088				Minuet for Piano in A flat major			1790 - 1792	"minuet in A flat for string quartet, Hess 33, arranged for piano by Beethoven; a ""Mineur"" exists for the piano version that does not for the quartet"					Hess 88	
90	66					Minuet for Piano in F major			1794							
91	67	064				3-part Fugue for Piano in C major			1794 - 1795						Hess 64	
92	68					3 Fugue Subjects for Study			1794							
93	69					3 Small Sketches for Study			1794	"Biamonti describes them as ""canons"", Hess as ""imitation movements"""						
94	70					Sketch for Instrument(s) in C Major; authorship: unfinished			1794							
95	71					Sketch for Instrument(s): of Contrapuntal Exercise at the Octave; authorship: unfinished			1794							
96	72	—	081b	081b	—	"Sextet for Horns, Violins, Viola & Cello in E flat major: called Opus 81b"	Sextet in E-flat major	1795	1795		E♭ major	2hn 2vn va vc	Chamber		"Op. 81 #2, Grove 81"	150
97	73					Sketch in C Major: for a Symphony; authorship: unfinished			1794 - 1795							
98	74					Minuet for Piano in C major			1795							
99	75	014				Fragment No. 2 for Piano & Orchestra in B flat major; authorship: unfinished			1794 - 1795	fragment of first movement first version of the Piano Concerto #2 Opus 19					Hess 14	
100	76/1	078				Cadenza for Piano in C major			1809	"written for Anna Fröhlich; for Piano Concerto #1, Opus 15 (second movement); lost"					Hess 78	
101	76/2	079				Cadenza for Piano; authorship: unfinished			1792 - 1796	"sketches and fragments for cadenza to first version of Piano Concerto #2, Opus 19"					Hess 79	
102	77	—	—	233	117	"Song in C major: ""Der freie Mann""; ""Wer ist ein freier Mann?""; with unison chorus"	"Der freie Mann (""Wer ist ein freier Mann?"")"	1792-94	1792 - 1794	words: G.C. Pfeffel	C major	uch	Vocal		"WoO 117, Grove 233"	441
103	78	—	—		120	"Song in F major: ""Man strebt, die Flamme zu verhehlen"""	"Man strebt, die Flamme zu verhehlen"	1800-02	1800 - 1802	written for Frau von Weissenthurn; words: Anonymous	F major	v pf	Vocal		WoO 120	444
104	79	—	—	254	118	"Song: ""Seufzer eines Ungeliebten""; ""Hast du nicht Liebe zugemessen"", and ""Gegenliebe""; ""Wüsst’ ich, wüsst’ ich"""	"Seufzer eines Ungeliebten und Gegenliebe (""Hast du nicht Liebe zugernessen"")"	1794-95	1794 - 1795	"words: GA Bürger; the melody of ""Gegenliebe"" was later used in the Choral Fantasy Opus 80"	C minor	v pf	Vocal	theme later used in Op.80	"WoO 118, Grove 254"	442
105	80/@@@	029	—		—	Prelude & Fugue for Violins & Cello in E minor	Prelude and Fugue	1794-95	1794 - 1795	written during the studies with Albrechtsberger	E minor	2vn vc	Chamber		Hess 29	547
106	80/@@@	030	—		—	Prelude & Fugue for String Quartet in F major	Prelude and Fugue	1794-95	1794 - 1795	written during the studies with Albrechtsberger; also one of the exercises of Hess 240	F major	2vn va vc	Chamber		Hess 30	548
107	80/@@@	031				Prelude & Fugue for String Quartet in C major			1794 - 1795	written during the studies with Albrechtsberger					Hess 31	
108	80/@@@	234				"125 Exercises for Study: strict counterpoint (2, 3 & 4 part)"			1794 - 1795	written for Albrechtsberger					Hess 234	
109	80/@@@	235				"26 Exercises for Study: free counterpoint (2, 3 & 4 part)"			1794 - 1795	written for Albrechtsberger					Hess 235	
110	80/@@@	236/01				2-part Simple Fugue for Study in D minor: strict; #1 of 18 fugues			1794 - 1795						Hess 236 #1	
111	80/@@@	236/02				2-part Simple Fugue for Study: strict; in E phrygian; #2 of 18 fugues			1794 - 1795						Hess 236 #2	
112	80/@@@	236/03				2-part Simple Fugue for Study in F major: strict; #3 of 18 fugues			1794 - 1795						Hess 236 #3	
113	80/@@@	236/04				2-part Simple Fugue for Study in B flat major: strict; #4 of 18 fugues			1794 - 1795						Hess 236 #4	
114	80/@@@	236/05				2-part Simple Fugue for Study in D minor: strict; #5 of 18 fugues			1794 - 1795						Hess 236 #5	
115	80/@@@	236/06				2-part Simple Fugue for Study in E minor: strict; #6 of 18 fugues			1794 - 1795						Hess 236 #6	
116	80/@@@	236/07				2-part Simple Fugue for Study in F major: strict; #7 of 18 fugues			1794 - 1795						Hess 236 #7	
117	80/@@@	236/08				2-part Simple Fugue for Study in B flat major: strict; #8 of 18 fugues			1794 - 1795						Hess 236 #8	
118	80/@@@	236/09				2-part Simple Fugue for Study in C major: strict; #9 of 18 fugues			1794 - 1795						Hess 236 #9	
119	80/@@@	236/10				2-part Simple Fugue for Study in E minor: strict; #10 of 18 fugues			1794 - 1795						Hess 236 #10	
120	80/@@@	236/11				2-part Simple Fugue for Study in F major: strict; #11 of 18 fugues			1794 - 1795						Hess 236 #11	
121	80/@@@	236/12				2-part Simple Fugue for Study in G major: strict; #12 of 18 fugues			1794 - 1795						Hess 236 #12	
122	80/@@@	237/1				3-part Simple Fugue for Study in G major: (strict); #1 of 7 fugues			1794 - 1795						Hess 237 #1	
123	80/@@@	237/2				3-part Simple Fugue for Study in F major: (strict); #2 of 7 fugues			1794 - 1795						Hess 237 #2	
124	80/@@@	237/3				3-part Simple Fugue for Study in E minor: (strict); #3 of 7 fugues			1794 - 1795						Hess 237 #3	
125	80/@@@	237/4				3-part Simple Fugue for Study in D minor: (strict); #4 of 7 fugues			1794 - 1795						Hess 237 #4	
126	80/@@@	237/5				3-part Simple Fugue for Study in B flat major: (strict); #5 of 7 fugues			1794 - 1795						Hess 237 #5	
127	80/@@@	238/	—		—		9 Fugues for 4 Voices	1794-95				4open	Chamber		Hess 238 (all)	552
128	80/@@@	238/1				4-part Simple Fugue for Study in E minor: (strict); #1 of 9 fugues			1794 - 1795						Hess 238 #1	
129	80/@@@	238/2				4-part Simple Fugue for Study in D minor: (strict); #2 of 9 fugues			1794 - 1795						Hess 238 #2	
130	80/@@@	238/3				4-part Simple Fugue for Study in C major: (strict); #3 of 9 fugues			1794 - 1795						Hess 238 #3	
131	80/@@@	238/4				4-part Simple Fugue for Study in A minor: (strict); #4 of 9 fugues			1794 - 1795						Hess 238 #4	
132	80/@@@	238/5				4-part Simple Fugue for Study in B flat major: (strict); #5 of 9 fugues			1794 - 1795						Hess 238 #5	
133	80/@@@	238/6				4-part Simple Fugue for Study in A minor: (strict); #6 of 9 fugues			1794 - 1795						Hess 238 #6	
134	80/@@@	239/1				4-part Chorale Fugue for Study in F major: #1 of 3 fugues			1794 - 1795						Hess 239 #1	
135	80/@@@	239/1				4-part Chorale Fugue for Study in D minor: #2 of 3 fugues			1794 - 1795						Hess 239 #2	
136	80/@@@	239/1				4-part Chorale Fugue for Study in G major: #3 of 3 fugues			1794 - 1795						Hess 239 #3	
137	80/@@@	240				4 Exercises for Study: double counterpoint of the octave (2-voice)			1794 - 1795	one fugue is separately cataloged as Hess 30					Hess 240	
138	80/@@@	241				24 Exercises for Study: double counterpoint of the octave and a third			1794 - 1795						Hess 241	
139	80/@@@	242				6 Exercises for Study: double counterpoint of the octave plus a fifth			1794 - 1795						Hess 242	
140	80/@@@	243/1				4-part Double Fugue for Study in C major: #1 of 5 fugues in double counterpoint			1794 - 1795						Hess 243 #1	
141	80/@@@	243/2				4-part Double Fugue for Study in F major: #2 of 5 fugues in double counterpoint			1794 - 1795						Hess 243 #2	
142	80/@@@	243/3				4-part Double Fugue for Study in C major: #3 of 5 fugues in double counterpoint			1794 - 1795	"part of Prelude & Fugue for String Quartet, Hess 31"					Hess 243 #3	
143	80/@@@	243/4				4-part Double Fugue for Study in C major: #4 of 5 fugues in double counterpoint			1794 - 1795						Hess 243 #4	
144	80/@@@	243/5				4-part Double Fugue for Study in D minor: #5 of 5 fugues in double counterpoint			1794 - 1795						Hess 243 #5	
145	80/@@@	244/	—		—		Triple Fugues (2)	1794-95				4open	Chamber		Hess 244 (all)	553
146	80/@@@	244/1				4-part Triple Fugue for Study in D minor: #1 of 2 fugues			1794 - 1795						Hess 244 #1	
147	80/@@@	244/2				4-part Triple Fugue for Study in F major: #2 of 2 fugues			1794 - 1795						Hess 244 #2	
148	81	246				"4-part Double Fugue for Chorus in F major: ""Kyrie eleison""; authorship: unfinished"			1794 - 1795						Hess 246	
149	82	245/@@@				Fragment for String Quartet in D minor; authorship: unfinished			1794	fragment of a Fugue; Biamonti 82 & 100 are duplicates					Hess 245	
150	83	—	—	204	159	"3-part Canon in F major: ""Im Arm der Liebe ruht sich’s wohl"""	"Im Arm der Liebe ruht sich's wohl, canon"	1795	1795	counterpoint study for Albrechtsberger	F major	3vv	Vocal		"WoO 159, Grove 204"	490
151	84/1	—	—	231/@@@	099/08	"Song in G major: ""O care selve"", with unison chorus"	O care selve	1794-95	1794 - 1795	words: Pietro Metastasio; also published separately - WoO 119	G major	v uch	Vocal	also published separately as WoO 119	"WoO 99 #8, Grove 231"	415
